,P10_8_1_Yes,P10_8_1_No,P10_8_2_Yes,P10_8_2_No,P10_8_3_Yes,P10_8_3_No,P10_8_4_Yes,P10_8_4_No,P10_8_5_Yes,P10_8_5_No,P10_8_6_Yes,P10_8_6_No,P10_8_7_Yes,P10_8_7_No,P10_8_8_Yes,P10_8_8_No,P10_8_9_Yes,P10_8_9_No,P10_8_10_Yes,P10_8_10_No,P10_8_11_Yes,P10_8_11_No,P10_8_12_Yes,P10_8_12_No,P10_8_13_Yes,P10_8_13_No,P10_8_14_Yes,P10_8_14_No,P10_8_15_1,P10_8_15_2,P10_8_15_3,P10_8_15_4
AGUASCALIENTES,30,611,58,583,2,639,34,607,66,575,29,612,40,601,15,626,64,577,8,633,17,624,332,309,313,19,318,14,5,1,3,5
BAJA CALIFORNIA,39,502,42,499,6,535,26,515,37,504,20,521,44,497,28,513,43,498,5,536,8,533,248,293,233,15,236,12,6,2,1,3
COLIMA,40,502,54,488,7,535,31,511,58,484,26,516,47,495,19,523,70,472,5,537,12,530,267,275,243,24,258,9,4,2,1,2
CHIAPAS,35,823,38,820,4,854,26,832,34,824,10,848,52,806,26,832,24,834,5,853,16,842,294,564,276,18,274,20,15,3,0,2
CHIHUAHUA,50,506,77,479,12,544,53,503,63,493,29,527,49,507,16,540,33,523,7,549,16,540,211,345,199,12,192,19,13,3,0,3
CIUDAD DE MÉXICO,29,238,42,225,3,264,23,244,34,233,14,253,23,244,14,253,36,231,8,259,11,256,131,136,118,13,120,11,6,1,0,4
DURANGO,66,669,73,662,7,728,42,693,83,652,27,708,57,678,20,715,60,675,8,727,28,707,323,412,298,25,302,21,8,6,1,6
HIDALGO,40,534,68,506,9,565,38,536,44,530,23,551,61,513,22,552,78,496,9,565,4,570,304,270,279,25,276,28,18,4,2,4
MORELOS,41,414,65,390,3,452,39,416,57,398,18,437,42,413,18,437,63,392,5,450,11,444,230,225,225,5,222,8,5,1,1,1
NAYARIT,40,622,53,609,9,653,32,630,71,591,26,636,50,612,22,640,66,596,9,653,14,648,273,389,248,25,254,19,9,6,1,3
NUEVO LEÓN,34,470,53,451,4,500,32,472,48,456,24,480,31,473,22,482,41,463,2,502,21,483,265,239,241,24,247,18,8,5,2,3
BAJA CALIFORNIA SUR,51,458,54,455,6,503,40,469,48,461,21,488,40,469,20,489,45,464,7,502,9,500,250,259,229,21,241,9,5,2,0,2
CAMPECHE,62,599,64,597,9,652,54,607,57,604,24,637,59,602,8,653,50,611,7,654,15,646,272,389,246,26,245,27,18,7,1,1
GUANAJUATO,40,660,62,638,8,692,31,669,48,652,24,676,42,658,21,679,86,614,8,692,4,696,338,362,308,30,311,27,11,9,4,3
GUERRERO,51,632,59,624,7,676,39,644,58,625,22,661,61,622,34,649,95,588,5,678,15,668,260,423,238,22,222,38,23,11,0,4
JALISCO,46,570,62,554,2,614,34,582,40,576,34,582,44,572,18,598,66,550,10,606,17,599,329,287,298,31,309,20,14,3,0,3
MÉXICO,44,482,69,457,5,521,42,484,56,470,21,505,43,483,22,504,54,472,14,512,17,509,253,273,231,22,237,16,13,0,0,3
MICHOACÁN DE OCAMPO,47,726,68,705,7,766,37,736,64,709,27,746,63,710,45,728,71,702,12,761,16,757,396,377,361,35,365,31,24,3,3,1
PUEBLA,36,576,77,535,5,607,51,561,45,567,15,597,48,564,49,563,66,546,7,605,9,603,325,287,300,25,306,19,11,4,2,2
SAN LUIS POTOSÍ,57,554,70,541,11,600,41,570,73,538,32,579,73,538,21,590,83,528,11,600,14,597,247,364,218,29,219,28,17,4,2,5
SINALOA,23,551,37,537,0,574,15,559,50,524,14,560,34,540,21,553,30,544,6,568,12,562,309,265,281,28,294,15,7,1,2,5
TLAXCALA,57,591,100,548,9,639,50,598,67,581,27,621,65,583,37,611,81,567,9,639,10,638,368,280,335,33,331,37,24,9,2,2
VERACRUZ DE IGNACIO DE LA LLAVE,48,494,66,476,4,538,38,504,56,486,19,523,54,488,28,514,67,475,6,536,11,531,279,263,268,11,253,26,18,5,2,1
ZACATECAS,47,658,74,631,8,697,42,663,50,655,27,678,52,653,13,692,56,649,6,699,8,697,235,470,219,16,228,7,5,2,0,0
OAXACA,39,624,70,593,5,658,44,619,56,607,22,641,53,610,21,642,48,615,7,656,9,654,292,371,270,22,256,36,28,7,1,0
QUERÉTARO,48,551,101,498,7,592,59,540,57,542,41,558,64,535,19,580,94,505,14,585,20,579,272,327,252,20,252,20,10,2,2,6
TABASCO,43,616,63,596,8,651,40,619,52,607,22,637,55,604,24,635,30,629,3,656,13,646,314,345,290,24,282,32,22,7,1,2
TAMAULIPAS,27,542,50,519,4,565,22,547,33,536,13,556,30,539,20,549,38,531,5,564,11,558,330,239,310,20,312,18,12,3,1,2
QUINTANA ROO,43,499,63,479,5,537,42,500,42,500,22,520,43,499,28,514,43,499,7,535,17,525,222,320,189,33,192,30,19,3,0,8
YUCATÁN,43,512,63,492,9,546,32,523,52,503,19,536,47,508,16,539,56,499,8,547,26,529,289,266,259,30,254,35,20,10,3,2
SONORA,40,492,58,474,3,529,34,498,53,479,24,508,40,492,25,507,73,459,9,523,11,521,285,247,263,22,267,18,7,8,0,3
COAHUILA DE ZARAGOZA,51,657,64,644,5,703,43,665,70,638,31,677,55,653,35,673,48,660,13,695,17,691,346,362,318,28,319,27,12,9,2,4
