,P10_8_1_Yes,P10_8_1_No,P10_8_2_Yes,P10_8_2_No,P10_8_3_Yes,P10_8_3_No,P10_8_4_Yes,P10_8_4_No,P10_8_5_Yes,P10_8_5_No,P10_8_6_Yes,P10_8_6_No,P10_8_7_Yes,P10_8_7_No,P10_8_8_Yes,P10_8_8_No,P10_8_9_Yes,P10_8_9_No,P10_8_10_Yes,P10_8_10_No,P10_8_11_Yes,P10_8_11_No,P10_8_12_Yes,P10_8_12_No,P10_8_13_Yes,P10_8_13_No,P10_8_14_Yes,P10_8_14_No,P10_8_15_1,P10_8_15_2,P10_8_15_3,P10_8_15_4
P10_7_6.0,107,3567,120,3554,13,3661,49,3625,92,3582,37,3637,70,3604,64,3610,52,3622,19,3655,41,3633,2631,1043,2469,162,2501,130,96,15,8,11
P10_7_1.0,122,1406,198,1330,22,1506,114,1414,157,1371,79,1449,151,1377,91,1437,149,1379,25,1503,38,1490,535,993,492,43,488,47,22,15,2,8
P10_7_5.0,556,6103,839,5820,80,6579,501,6158,697,5962,286,6373,689,5970,262,6397,812,5847,94,6565,162,6497,2568,4091,2333,235,2294,274,152,73,17,32
P10_7_3.0,30,355,53,332,7,378,34,351,43,342,20,365,32,353,12,373,25,360,1,384,10,375,245,140,224,21,224,21,20,0,0,1
P10_7_2.0,514,4886,740,4660,63,5337,462,4938,665,4735,294,5106,564,4836,277,5123,768,4632,101,5299,164,5236,2353,3047,2140,213,2174,179,99,35,10,35
P10_7_7.0,20,793,23,790,3,810,15,798,20,793,16,797,17,796,23,790,14,799,1,812,15,798,551,262,501,50,517,34,24,1,3,6
P10_7_8.0,4,382,1,385,1,385,1,385,4,382,1,385,2,384,2,384,0,386,1,385,1,385,0,386,0,0,0,0,0,0,0,0
P10_7_4.0,14,140,16,138,1,153,12,142,15,139,2,152,14,140,2,152,13,141,1,153,2,152,76,78,71,5,69,7,4,2,0,1
P10_7_10.0,20,303,27,296,3,320,18,305,29,294,12,311,22,301,14,309,25,298,2,321,6,317,130,193,126,4,127,3,0,2,0,1
P10_7_9.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
